Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Sept. 29, 2025","Sept. 29, 2025",Run,150,1.63009,2874,29.385,14.3298,2.04186,4.18708,,7190,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8680870648
"Sept. 26, 2025","Sept. 26, 2025",Run,77,0.778806,1589,34.005,11.2483,1.76444,5.33414,,3952,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8679124106
"Sept. 25, 2025","Sept. 25, 2025",Run,86,0.959338,1626,28.2486,13.0435,2.124,4.59999,,4075,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8678494298
"Sept. 24, 2025","Sept. 24, 2025",Run,329,3.02224,1814,10.0036,7.31082,5.99783,8.20701,,4925,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8678138736
"Sept. 24, 2025","Sept. 24, 2025",Run,180,2.28352,2994,21.8522,11.3173,2.74571,5.30164,,7604,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8677885539
"Sept. 23, 2025","Sept. 23, 2025",Run,223,2.12129,4961,38.9778,11.3697,1.53934,5.27719,,12277,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8677335113
"Sept. 22, 2025","Sept. 22, 2025",Run,124,1.53084,2249,24.4855,14.4617,2.45043,4.1489,,5676,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8676913839
"Sept. 22, 2025","Sept. 22, 2025",Run,121,1.51246,2171,23.9236,6.2417,2.50799,9.61276,,5486,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8676619034
"Sept. 21, 2025","Sept. 21, 2025",Run,75,0.86018,1415,27.4168,12.9913,2.18844,4.61849,,3551,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8676298893
"Sept. 21, 2025","Sept. 21, 2025",Run,217,2.02732,1164,9.56928,7.19496,6.27006,8.33918,,3177,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8676129977
"Sept. 20, 2025","Sept. 20, 2025",Run,107,1.34266,1919,23.8209,11.5855,2.5188,5.17889,,4850,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8675712834
"Sept. 19, 2025","Sept. 19, 2025",Run,139,1.63718,2584,26.3054,12.4253,2.2809,4.82885,,6498,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8674872426
"Sept. 18, 2025","Sept. 18, 2025",Run,139,1.75589,2411,22.8849,12.7911,2.62182,4.69076,,6107,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8674584771
"Sept. 18, 2025","Sept. 18, 2025",Run,134,1.69528,2264,22.2579,5.76079,2.69567,10.4152,,5744,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8674257116
"Sept. 16, 2025","Sept. 16, 2025",Run,129,1.64821,2067,20.9015,10.9945,2.8706,5.45729,,5263,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8672947901
"Sept. 15, 2025","Sept. 15, 2025",Run,76,0.881678,1415,26.7483,13.1484,2.24314,4.56329,,3555,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8672655083
"Sept. 15, 2025","Sept. 15, 2025",Run,156,1.53513,3329,36.1425,13.5693,1.6601,4.42174,,8260,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8672349028
"Sept. 14, 2025","Sept. 14, 2025",Run,112,1.26216,2118,27.968,13.3196,2.14531,4.50462,,5311,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8671710612
"Sept. 13, 2025","Sept. 13, 2025",Run,160,2.00354,2820,23.4584,13.2486,2.55772,4.52878,,7133,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8671165542
"Sept. 12, 2025","Sept. 12, 2025",Run,151,1.89841,2688,23.5987,10.5539,2.54251,5.68513,,6797,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8670556797
"Sept. 11, 2025","Sept. 11, 2025",Run,54,0.650808,1002,25.6604,13.0555,2.33823,4.59577,,2523,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8670249023
"Sept. 11, 2025","Sept. 11, 2025",Run,85,1.02759,1546,25.075,8.10536,2.39283,7.40251,,3897,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8669916680
"Sept. 10, 2025","Sept. 10, 2025",Run,125,1.54205,2266,24.4912,4.7529,2.44986,12.6239,,5719,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8669288593
"Sept. 9, 2025","Sept. 9, 2025",Run,46,0.494409,884,29.7999,5.32708,2.01343,11.2632,,2210,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8668982806
"Sept. 9, 2025","Sept. 9, 2025",Run,121,1.51474,2150,23.6565,12.6301,2.5363,4.75057,,5436,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8668649796
"Sept. 8, 2025","Sept. 8, 2025",Run,126,1.58567,2224,23.376,9.35875,2.56673,6.41111,,5627,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8668309923
"Sept. 8, 2025","Sept. 8, 2025",Run,181,2.29677,3000,21.7697,12.3358,2.75613,4.86388,,7621,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8667916912
"Sept. 7, 2025","Sept. 7, 2025",Run,120,1.51108,2115,23.3277,13.7834,2.57206,4.35308,,5352,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8667409734
"Sept. 6, 2025","Sept. 6, 2025",Run,116,1.42463,2103,24.6028,11.887,2.43874,5.04753,,5306,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8666770937
